 ,Greedy,Uniform,A*,Dijkstras
Traffic:,95,82,82,82
Traffic:,144,99,99,99
Traffic:,96,96,96,96
Traffic:,69,69,69,69
Traffic:,163,160,160,160
Traffic:,409,378,379,378
Traffic:,652,613,613,613
Traffic:,64,62,62,62
Traffic:,369,188,188,188
Traffic:,175,175,175,175
Traffic:,162,162,162,162
Traffic:,133,133,133,133
Traffic:,87,87,87,87
Traffic:,190,182,182,182
Traffic:,12,12,12,12
Traffic:,35,35,35,35
Traffic:,84,66,66,66
Traffic:,123,85,85,85
Traffic:,87,87,87,87
Traffic:,64,64,64,64
Traffic:,154,154,154,154
Traffic:,410,352,353,352
Traffic:,644,607,607,607
Traffic:,86,86,86,86
Traffic:,334,190,190,190
Traffic:,201,201,201,201
Traffic:,228,226,226,226
Traffic:,172,164,164,164
Traffic:,79,79,79,79
Traffic:,196,178,178,178
Traffic:,18,18,18,18
Traffic:,24,24,24,24
Traffic:,64,54,54,54
Traffic:,119,87,87,87
Traffic:,95,95,95,95
Traffic:,78,78,78,78
Traffic:,118,118,118,118
Traffic:,384,363,363,363
Traffic:,669,599,599,599
Traffic:,87,87,87,87
Traffic:,329,216,216,218
Traffic:,201,201,201,201
Traffic:,224,224,224,224
Traffic:,189,189,189,189
Traffic:,97,97,97,97
Traffic:,159,159,159,159
Traffic:,15,15,15,15
Traffic:,41,41,41,41
Traffic:,37,37,37,37
Traffic:,116,99,100,99
Traffic:,122,122,122,122
Traffic:,69,69,69,69
Traffic:,146,141,141,141
Traffic:,473,446,446,446
Traffic:,730,603,603,603
Traffic:,67,67,67,67
Traffic:,343,184,184,184
Traffic:,205,205,205,205
Traffic:,219,215,215,215
Traffic:,183,182,183,182
Traffic:,95,95,95,95
Traffic:,211,160,160,160
Traffic:,13,13,13,13
Traffic:,53,53,53,53
Traffic:,83,72,73,73
Traffic:,130,103,103,103
Traffic:,100,100,100,100
Traffic:,62,62,62,62
Traffic:,122,122,122,122
Traffic:,432,399,399,399
Traffic:,627,567,567,567
Traffic:,72,65,65,65
Traffic:,354,188,188,190
Traffic:,187,187,187,187
Traffic:,199,198,198,198
Traffic:,183,183,183,183
Traffic:,120,120,120,120
Traffic:,183,177,177,177
Traffic:,11,11,11,11
Traffic:,35,35,35,35
Traffic:,80,63,63,63
Traffic:,140,101,101,101
Traffic:,74,74,74,74
Traffic:,77,77,77,77
Traffic:,161,159,159,159
Traffic:,356,335,336,338
Traffic:,672,587,588,588
Traffic:,81,81,81,82
Traffic:,307,188,188,189
Traffic:,196,196,196,196
Traffic:,229,224,224,224
Traffic:,184,184,184,184
Traffic:,99,99,99,99
Traffic:,192,192,192,194
Traffic:,2,2,2,2
Traffic:,31,31,31,31
Traffic:,82,73,74,74
Traffic:,119,113,113,113
Traffic:,113,113,113,113
Traffic:,62,62,62,62
Traffic:,135,126,126,126
Traffic:,388,342,342,342
Traffic:,650,589,590,589
Traffic:,69,69,69,69
Traffic:,376,214,214,214
Traffic:,191,191,191,191
Traffic:,243,243,243,243
Traffic:,174,155,155,155
Traffic:,98,96,96,96
Traffic:,195,195,195,195
Traffic:,5,5,5,5
Traffic:,55,55,55,55
Traffic:,70,59,59,59
Traffic:,125,107,107,107
Traffic:,94,93,93,93
Traffic:,68,68,68,68
Traffic:,127,118,118,118
Traffic:,406,375,376,375
Traffic:,654,608,608,608
Traffic:,72,72,72,72
Traffic:,365,199,200,199
Traffic:,221,221,221,221
Traffic:,176,171,171,171
Traffic:,174,172,172,172
Traffic:,89,89,89,89
Traffic:,160,160,160,160
