 ,Greedy,Weighted-A*,A*,Dijkstras, ,Greedy,Weighted-A*,A*,Dijkstras
Time:,0.6273880004882812,0.8734173774719238,2.0895285606384277,2.237361192703247,Traffic:,629,578,544,544
Time:,0.6479499340057373,0.8958194255828857,2.1275076866149902,2.2805283069610596,Traffic:,84,84,79,79
Time:,1.2232859134674072,1.467541217803955,3.154961585998535,3.3797173500061035,Traffic:,355,210,196,196
Time:,1.3104138374328613,1.5539131164550781,3.2498295307159424,3.4707231521606445,Traffic:,188,188,188,188
Time:,1.3535706996917725,1.600682020187378,3.308741569519043,3.532334089279175,Traffic:,216,216,216,216
Time:,1.3927757740020752,1.6521642208099365,3.3985464572906494,3.618391990661621,Traffic:,189,189,185,185
Time:,1.4176888465881348,1.6779470443725586,3.4484915733337402,3.670438051223755,Traffic:,99,99,99,99
Time:,1.461210012435913,1.7232327461242676,3.535933494567871,3.7635090351104736,Traffic:,224,224,206,206
Time:,0.0014300346374511719,0.0013360977172851562,0.001255035400390625,0.0013692378997802734,Traffic:,11,11,11,11
Time:,0.008275985717773438,0.008244037628173828,0.008024930953979492,0.008361339569091797,Traffic:,37,37,37,37
Time:,0.06809020042419434,0.04190635681152344,0.05168485641479492,0.05041933059692383,Traffic:,69,60,58,58
Time:,0.09763979911804199,0.08063936233520508,0.10543084144592285,0.09960699081420898,Traffic:,112,95,95,95
Time:,0.12088775634765625,0.10924434661865234,0.14993572235107422,0.1438441276550293,Traffic:,90,90,90,90
Time:,0.13928461074829102,0.12850213050842285,0.1811976432800293,0.17387604713439941,Traffic:,62,62,62,62
Time:,0.1739795207977295,0.16569185256958008,0.25948238372802734,0.25357699394226074,Traffic:,124,124,118,118
Time:,0.3004496097564697,0.4330637454986572,0.6112093925476074,0.6415309906005859,Traffic:,429,413,410,410
Time:,0.6409008502960205,0.8789398670196533,1.9995803833007812,2.060275077819824,Traffic:,609,609,574,574
Time:,0.6598708629608154,0.8975586891174316,2.033057451248169,2.099292039871216,Traffic:,80,80,80,80
